#{"t_start": 1628272413.2611737, "env_id": null}
r,l,t
362.942247,500,867.630993
316.078759,500,873.628347
236.122376,500,879.498378
246.223889,500,885.332773
430.36398,500,891.13872
412.429844,500,896.944595
235.609876,500,902.757215
253.177094,500,908.654126
209.097388,500,914.562209
113.858359,500,920.372065
-2.356901,500,926.265029
106.202877,500,932.16846
412.035467,500,938.079226
400.226665,500,943.942603
398.932046,500,949.841739
-347.000588,500,955.703871
350.890905,500,961.54628
322.956752,500,967.483668
362.698757,500,973.377934
405.587691,500,979.251907
393.422151,500,985.037639
408.94379,500,990.962857
-18.970879,500,996.732744
307.560293,500,1002.575897
415.513614,500,1008.456203
402.631225,500,1014.270927
430.779188,500,1020.161866
395.354093,500,1025.979827
296.284253,500,1031.916299
418.110179,500,1037.818939
404.478805,500,1043.698519
339.91808,500,1049.657378
349.815397,500,1055.516677
382.077086,500,1061.425807
432.265484,500,1067.290286
419.152978,500,1073.137081
415.622519,500,1078.978331
320.309694,500,1084.931047
405.374731,500,1090.802753
368.171429,500,1096.717494
295.686554,500,1102.589245
375.720204,500,1108.49878
383.788516,500,1114.419608
328.387588,500,1120.312413
418.662514,500,1126.233918
301.882447,500,1132.150175
309.077082,500,1138.014491
252.479907,500,1143.737289
225.574955,500,1149.580281
265.917145,500,1155.484448
241.678084,500,1161.419623
341.054473,500,1167.347811
415.539539,500,1173.182746
287.737352,500,1178.977723
50.692071,500,1184.838253
-61.171918,500,1190.738475
259.183005,500,1196.65331
454.426842,500,1202.460623
446.188084,500,1208.367162
408.213598,500,1214.111891
363.308549,500,1219.889511
389.407732,500,1225.786059
92.550004,500,1231.493861
410.539202,500,1237.357424
427.867027,500,1243.132537
221.82677,500,1248.940523
100.592857,500,1254.758669
94.926471,500,1260.624077
108.681924,500,1266.510785
115.600876,500,1272.431789
384.352825,500,1278.327608
389.673889,500,1284.245932
-1.807264,500,1289.974584
255.180165,500,1295.859907
-25.696209,500,1301.723562
304.727228,500,1307.561394
451.927638,500,1313.379316
463.015529,500,1319.184767
440.321024,500,1324.980839
442.543434,500,1330.812589
433.83841,500,1336.699003
450.89543,500,1342.61937
419.545845,500,1348.456042
289.977734,500,1354.35966
423.548795,500,1360.179235
419.282326,500,1366.174822
382.87854,500,1372.033161
423.277099,500,1377.904405
445.749889,500,1383.782709
444.858464,500,1389.650192
439.010233,500,1395.471101
444.251435,500,1401.33114
428.298574,500,1407.275846
445.522845,500,1413.127727
446.68142,500,1418.899612
403.458163,500,1424.683616
444.203435,500,1430.650418
433.191699,500,1436.514619
431.105878,500,1442.431852
442.949012,500,1448.129556
417.53255,500,1453.941762
446.312671,500,1459.803307
435.569351,500,1465.701531
359.396548,500,1471.581628
246.984304,500,1477.281596
296.423887,500,1483.109224
242.279569,500,1488.942858
343.654183,500,1494.729852
335.768641,500,1500.668651
-35.059988,500,1506.603234
-29.912796,500,1512.601148
251.373972,500,1518.543196
416.598284,500,1524.531029
408.798148,500,1530.376751
412.144043,500,1536.228083
423.631892,500,1542.132212
412.16288,500,1548.045161
406.748776,500,1553.942852
434.843174,500,1559.904926
395.708048,500,1565.800669
419.407316,500,1571.730911
400.791376,500,1577.662639
408.983722,500,1583.588962
444.770939,500,1589.472894
436.695968,500,1595.319996
369.125562,500,1601.254281
414.947512,500,1607.193294
429.098874,500,1612.997142
425.944153,500,1618.953475
432.116035,500,1624.927567
414.922176,500,1630.733888
307.448887,500,1636.547158
223.575146,500,1642.44099
310.315634,500,1648.280063
342.558935,500,1654.209853
163.476099,500,1660.063205
184.579045,500,1665.947987
401.577808,500,1671.826438
391.25794,500,1677.551459
309.807915,500,1683.435561
345.671509,500,1689.319046
391.839373,500,1695.182363
285.720595,500,1701.040191
381.288719,500,1706.996537
352.185251,500,1712.855
337.913381,500,1718.723099
298.928995,500,1724.717463
261.881213,500,1730.591995
276.787508,500,1736.488579
308.223132,500,1742.283204
251.367197,500,1748.005369
338.674796,500,1753.934178
357.757224,500,1759.752092
282.738301,500,1765.60103
291.52011,500,1771.541944
229.949042,500,1777.559347
366.369209,500,1783.491657
366.055838,500,1789.39086
237.768338,500,1795.236174
326.179088,500,1801.074314
68.435079,500,1807.027252
340.273721,500,1812.845008
259.539855,500,1818.754019
233.831315,500,1824.577693
363.791079,500,1830.448212
363.914972,500,1836.398567
313.733854,500,1842.160008
332.356581,500,1847.978715
338.298502,500,1853.751308
304.110984,500,1859.652675
30.324263,500,1865.493046
282.335587,500,1871.405944
-645.411894,500,1877.143498
180.937859,500,1883.023676
303.733966,500,1888.993344
222.280339,500,1894.884176
237.658755,500,1901.003811
252.133467,500,1906.861764
96.97436,500,1912.802917
192.426226,500,1918.737483
28.928338,500,1924.618524
-111.965638,500,1930.55671
-902.515449,500,1936.365406
182.805933,500,1942.219235
113.241672,500,1948.214791
-13.328052,500,1954.040391
4.271476,500,1959.963305
-186.884059,500,1965.847703
141.865288,500,1971.767118
104.006046,500,1977.735914
21.458553,500,1983.412575
36.189968,500,1989.092712
43.613924,500,1995.041698
-7.882923,500,2000.872118
110.131932,500,2006.825922
162.407545,500,2012.656648
142.250941,500,2018.636154
-21.561896,500,2024.460806
-85.161189,500,2030.418334
104.570593,500,2036.257903
164.066333,500,2042.184284
-100.380327,500,2048.052783
-79.843694,500,2053.948353
108.10997,500,2059.788759
-172.591296,500,2065.753887
-270.266806,500,2071.584042
-30.735228,500,2077.542598
-82.915393,500,2083.251118
51.775987,500,2089.16279
-11.104302,500,2095.04592
187.164087,500,2101.01213
85.240446,500,2106.876544
252.774045,500,2112.786019
213.488816,500,2118.58884
-231.593208,500,2124.381961
-739.132007,500,2130.357113
57.595019,500,2136.207107
-43.115245,500,2142.152119
-233.363091,500,2148.036475
-799.279546,500,2153.985813
-7.420705,500,2159.955029
321.515228,500,2165.823479
-101.072387,500,2171.695549
142.848468,500,2177.66106
-105.536101,500,2183.738466
153.712121,500,2189.592916
148.50485,500,2195.437621
190.646488,500,2201.410306
204.482527,500,2207.314217
-69.24884,500,2213.279736
205.192274,500,2219.26656
44.068426,500,2225.01528
-1351.654723,500,2230.99077
209.92499,500,2236.85575
106.307316,500,2242.846652
329.46924,500,2248.799808
262.15013,500,2254.785024
221.196751,500,2260.603723
196.41181,500,2266.549057
289.635813,500,2272.535814
261.217717,500,2278.40695
71.465857,500,2284.223871
325.181611,500,2290.084423
340.732169,500,2296.07806
263.648961,500,2301.954236
136.608198,500,2307.961694
109.974951,500,2313.825867
195.099718,500,2319.721706
141.699036,500,2325.595156
-925.375366,500,2331.412972
240.605068,500,2337.290685
341.348539,500,2343.090056
-43.126233,500,2348.835078
-68.555446,500,2354.706185
22.600592,500,2360.591757
-12.45183,500,2366.537276
70.841273,500,2372.466416
-328.5842,500,2378.449275
89.274866,500,2384.299739
119.22416,500,2390.156895
176.246524,500,2396.019688
381.880503,500,2402.03718
268.847574,500,2407.919639
206.738457,500,2413.760451
391.735372,500,2419.51175
392.481152,500,2425.500755
396.62334,500,2431.357058
348.691449,500,2437.330334
353.405655,500,2443.207958
24.601741,500,2449.055934
-365.390424,500,2455.070664
-122.890442,500,2460.962062
37.746716,500,2466.914901
377.943683,500,2472.768622
155.299268,500,2478.655715
295.753782,500,2484.486284
371.7636,500,2490.467286
399.948799,500,2496.317918
177.756277,500,2502.174831
354.123542,500,2507.935962
400.967269,500,2513.897604
-63.325985,500,2519.744723
410.105208,500,2525.629915
311.604967,500,2531.593652
319.612893,500,2537.48274
401.619475,500,2543.403757
389.480925,500,2549.363908
138.961546,500,2555.318705
73.0614,500,2561.255779
-88.008152,500,2567.064132
-287.704137,500,2572.934566
321.149339,500,2578.854677
248.578249,500,2584.805021
311.097245,500,2590.691082
402.129232,500,2596.6758
397.949059,500,2602.579536
256.595442,500,2608.59398
382.480835,500,2614.472523
289.191433,500,2620.325676
418.783261,500,2626.178168
424.015709,500,2632.157876
199.108046,500,2637.953059
423.901779,500,2643.939006
390.992332,500,2649.823378
88.27997,500,2655.778851
431.313914,500,2661.651879
396.088961,500,2667.64245
392.101933,500,2673.595184
370.704845,500,2679.684875
447.565651,500,2685.555791
176.730268,500,2691.522662
325.14345,500,2697.376949
400.982694,500,2703.163291
388.787562,500,2709.016894
188.166576,500,2714.852798
359.382254,500,2720.713057
365.347718,500,2726.548662
396.441659,500,2732.422871
216.62019,500,2738.256615
356.518807,500,2744.233327
173.341014,500,2750.128908
391.841368,500,2756.144741
173.744933,500,2762.103196
-185.61088,500,2767.974329
173.68,500,2773.889303
178.246985,500,2779.741366
388.378571,500,2785.549227
365.055752,500,2791.476229
371.455885,500,2797.292083
371.927603,500,2803.154259
390.07738,500,2809.04158
393.843957,500,2814.935842
388.192222,500,2820.788762
398.205121,500,2826.64858
405.900092,500,2832.46439
363.473355,500,2838.337201
133.4633,500,2844.264148
368.450527,500,2850.165879
440.637818,500,2856.052866
427.929432,500,2861.814628
425.49899,500,2867.637676
443.893946,500,2873.503657
404.114925,500,2879.34793
421.173468,500,2885.161369
327.849655,500,2891.114913
382.251467,500,2897.088928
413.429415,500,2902.994869
392.144482,500,2908.982816
388.010433,500,2914.916874
376.795056,500,2920.731175
431.953777,500,2926.579218
424.755941,500,2932.489182
430.990451,500,2938.411374
445.814122,500,2944.389378
320.677245,500,2950.245498
447.340802,500,2956.094789
392.149838,500,2961.897398
390.89006,500,2967.746613
417.375318,500,2973.652386
300.979589,500,2979.539821
400.904967,500,2985.409985
389.792901,500,2991.31676
332.143117,500,2997.195836
324.698278,500,3002.94338
404.858675,500,3008.723752
370.418301,500,3014.660576
350.513028,500,3020.494616
390.24891,500,3026.378209
375.823647,500,3032.260263
362.169259,500,3038.177375
347.261666,500,3044.120702
357.31453,500,3049.9179
274.934168,500,3055.774869
383.60714,500,3061.784484
265.736186,500,3067.765536
201.07583,500,3073.609215
187.047204,500,3079.505056
297.584652,500,3085.388825
304.560874,500,3091.253158
231.325946,500,3097.162756
284.144872,500,3103.06293
253.06225,500,3108.917542
250.122413,500,3114.795127
256.360633,500,3120.695932
266.37717,500,3126.562936
-24.371201,500,3132.398743
122.923752,500,3138.303088
179.783239,500,3144.373642
265.641741,500,3150.44323
185.887486,500,3156.534583
183.767936,500,3162.595494
-182.982529,500,3168.610917
-54.609941,500,3174.677004
283.646239,500,3180.682384
-32.565011,500,3186.748576
-104.272303,500,3192.819715
248.88939,500,3198.867434
301.200092,500,3204.916842
-173.270229,500,3211.161355
248.496128,500,3217.222554
129.720238,500,3223.386598
141.496944,500,3229.454165
186.383113,500,3235.499775
181.599956,500,3241.630286
155.154987,500,3247.650849
192.876688,500,3253.796867
228.77056,500,3259.815239
369.979374,500,3265.78538
138.492071,500,3271.720222
178.208286,500,3277.72143
175.720017,500,3283.782484
316.495886,500,3289.749612
233.365732,500,3295.799312
87.691491,500,3301.791723
212.346193,500,3307.686142
199.507736,500,3313.671488
126.993275,500,3319.734189
182.09263,500,3326.055972
242.734654,500,3332.299823
150.803313,500,3338.358362
-213.353337,500,3344.552056
-274.778334,500,3350.591466
48.323513,500,3356.787671
105.361257,500,3362.852136
104.543073,500,3368.928124
170.227604,500,3375.111623
100.7694,500,3381.197628
88.889733,500,3387.541543
108.4504,500,3393.596595
201.493819,500,3399.731126
179.241209,500,3405.892562
247.279505,500,3412.421767
212.874676,500,3419.059294
-117.576349,500,3425.770452
247.040277,500,3431.974033
207.529598,500,3438.231129
222.254476,500,3444.287452
206.118011,500,3450.693496
128.554664,500,3457.133164
110.501526,500,3463.306335
35.491822,500,3469.59733
110.704831,500,3476.315174
157.842211,500,3482.622246
320.722938,500,3488.874719
282.76653,500,3495.048036
7.230516,500,3501.373912
-2.692377,500,3507.767166
49.788423,500,3513.953676
286.572876,500,3520.04142
379.502577,500,3526.482524
332.828188,500,3532.844006
72.558938,500,3538.964596
444.039167,500,3545.193057
261.550042,500,3551.441468
39.309345,500,3557.561834
-138.067155,500,3563.813227
122.253342,500,3570.214163
-121.883239,500,3578.121458
-42.966347,500,3584.797555
-487.769381,500,3591.28052
-300.804515,500,3597.533538
-155.068182,500,3604.025673
-332.413353,500,3610.429876
237.087586,500,3616.716889
176.159703,500,3622.658293
54.737693,500,3628.560697
142.577802,500,3634.819646
69.696269,500,3641.017601
298.723322,500,3647.226539
-374.938424,500,3653.177315
-244.546314,500,3659.122778
343.416559,500,3665.248402
425.507882,500,3671.437587
318.971194,500,3677.721256
-117.28031,500,3683.801594
116.718889,500,3690.341995
245.186827,500,3696.715277
-299.720514,500,3702.814311
286.531898,500,3709.415171
348.719435,500,3716.174006
181.642226,500,3722.380129
-32.990039,500,3729.940289
357.13431,500,3737.850221
385.173941,500,3744.309857
335.232922,500,3750.323605
388.110179,500,3756.214086
183.136352,500,3762.238028
349.561392,500,3768.119505
329.573626,500,3774.008667
344.167378,500,3780.215555
77.740117,500,3787.191859
315.239019,500,3794.14372
97.502539,500,3800.227013
377.816694,500,3806.126973
365.405299,500,3812.071198
204.685532,500,3818.103403
245.689107,500,3824.031705
410.209259,500,3829.939359
262.742933,500,3836.00432
315.841319,500,3841.901379
300.068028,500,3847.832625
375.450857,500,3854.044212
396.247411,500,3859.978917
249.339565,500,3865.818912
312.041562,500,3871.549689
362.773198,500,3877.403986
198.052313,500,3883.14251
124.553305,500,3888.95689
398.057675,500,3894.798749
410.107395,500,3900.50988
346.097309,500,3906.255139
218.356087,500,3912.202385
134.018317,500,3917.979247
262.006633,500,3923.569551
215.845462,500,3929.328574
344.844436,500,3935.781826
296.283585,500,3941.711262
145.467087,500,3947.445222
329.31119,500,3953.201044
202.204771,500,3959.070663
257.886164,500,3964.794198
278.700217,500,3970.585528
257.387738,500,3976.374044
252.018181,500,3982.143418
109.556718,500,3987.877964
40.55449,500,3993.688802
97.094945,500,3999.475729
-127.327773,500,4005.344942
-2091.22861,500,4011.109808
408.093197,500,4016.821689
-639.076772,500,4022.598361
-1346.133749,500,4028.507386
378.456874,500,4034.281103
324.138614,500,4040.147397
328.01318,500,4045.922281
-118.383099,500,4051.800154
-98.339537,500,4057.633073
125.711783,500,4063.466227
236.92748,500,4069.208192
110.653301,500,4075.005601
259.940179,500,4080.845228
153.72987,500,4086.610625
114.542436,500,4092.402568
331.872902,500,4098.184139
362.025397,500,4104.045488
372.937875,500,4109.861677
389.179676,500,4116.006082
451.825694,500,4122.246861
386.559989,500,4128.270306
270.47719,500,4134.177098
355.61521,500,4139.910035
400.169312,500,4145.59907
426.691698,500,4151.382355
384.612815,500,4157.135629
366.474847,500,4162.993852
277.147097,500,4168.746492
223.91432,500,4174.456949
287.464635,500,4180.235666
285.897303,500,4185.879649
164.2494,500,4191.670721
379.939389,500,4197.381603
436.790805,500,4203.229191
434.240652,500,4209.56969
459.080557,500,4215.360313
452.072815,500,4221.240174
274.477775,500,4227.039044
363.198891,500,4232.787403
233.84076,500,4238.402694
354.951045,500,4244.155542
180.574585,500,4249.899875
-145.918118,500,4255.771475
-478.618661,500,4261.60154
393.457447,500,4267.385417
365.448133,500,4272.942883
-564.159053,500,4278.738254
109.347876,500,4284.535176
459.956042,500,4290.272823
-65.904977,500,4295.985158
222.918423,500,4301.773989
464.304051,500,4307.504215
412.9082,500,4313.411216
442.81136,500,4319.210943
426.529628,500,4324.877601
462.707819,500,4330.66145
427.006108,500,4336.699269
413.523692,500,4342.91773
439.15395,500,4348.94907
331.921353,500,4354.728009
412.044203,500,4360.361847
439.370881,500,4366.127902
414.919669,500,4371.884521
437.537794,500,4377.646913
422.682925,500,4383.728761
430.111491,500,4389.573409
399.004777,500,4395.312069
382.412872,500,4401.066476
377.679744,500,4406.799408
367.316582,500,4412.710502
339.349067,500,4418.561582
336.770447,500,4424.480318
415.022933,500,4430.264392
305.314831,500,4436.042067
450.467819,500,4441.811707
343.910808,500,4447.573509
95.728733,500,4453.374317
412.562995,500,4459.170132
274.149032,500,4464.898737
114.762273,500,4470.698968
412.397933,500,4476.648432
133.643167,500,4482.456317
-45.835653,500,4488.145397
213.542821,500,4493.949415
375.703987,500,4499.802275
373.230658,500,4505.603112
140.305289,500,4511.385036
447.106331,500,4516.993095
433.994913,500,4522.933141
447.151377,500,4529.392145
451.42923,500,4536.865608
469.27677,500,4542.95735
410.1641,500,4549.907403
457.390802,500,4556.74069
454.98771,500,4562.878463
375.991132,500,4568.655829
378.374007,500,4574.686921
433.405682,500,4580.318756
415.981125,500,4586.399999
433.942768,500,4592.204393
408.563807,500,4598.015162
394.383704,500,4603.883583
448.539659,500,4609.625296
449.223713,500,4615.47577
445.649704,500,4621.318243
418.305006,500,4627.386239
460.070982,500,4633.775359
407.45688,500,4639.952693
457.922184,500,4645.905365
436.635899,500,4651.747542
453.486453,500,4657.613541
424.806353,500,4663.596389
367.161049,500,4669.888882
414.345019,500,4676.197758
408.419318,500,4682.36997
442.482021,500,4688.728899
439.676018,500,4695.342911
385.853426,500,4701.564067
188.201835,500,4707.703473
415.168442,500,4713.664215
423.504399,500,4719.901403
423.840083,500,4725.868493
446.092426,500,4731.906261
421.547718,500,4737.997496
311.981182,500,4743.986445
-42.925605,500,4749.983968
224.814193,500,4756.024362
224.238875,500,4762.189751
400.877833,500,4768.165028
434.005827,500,4774.217955
385.674348,500,4780.438683
437.868578,500,4786.602361
432.055368,500,4793.562215
85.761156,500,4799.684085
427.314588,500,4805.77529
392.356322,500,4811.938367
431.329114,500,4817.966686
402.88621,500,4823.979385
395.423543,500,4829.987114
429.99672,500,4836.281982
